text,username,city_request,city_provenance
Hi    Wondering if anyone has any recent knowledge on this. I travelled to Cuba in March 2022 and planning on visiting USA in 2024.    I am aware that I cannot simply get an ESTA anymore as I travelled after 2021 and now need a visa. However I have since had to get a new passport therefore no longer have a Cuban stamp in my current passport.    I’m just wondering if anyone has similar experience of this and be able to enter US on an esta?    Thanks    Rhys ,Rjd279,New York City,"Glasgow, United..."
Hi    Looking for advice for a hotel for 4 people for 4-7 april 25.    Myself and 70 year old mum and 2 kids age 11 and 12.    Ideally midtown area. Mum and I been before and stayed in renaissance midtown when first opened. It was lovely! I can get renaissance times sq with 2 double and a rollaway for $1490 but not sure if be a bit tight for space. Kids would love to have a big city hotel experience. Ideally around $1500 max.    Beds - we can manage ideally with.  Thanks in advance ,Emjmolly,New York City,"Glasgow, United..."
Hey Folks    5 of us landing in NYC and below are the dates and looking for suggestions on travel plans places to visit cheapest and best option to travel such as plane train hire car or bus.    12th March 2024 (Leave NYC)  25th March 2024 (Must be back at EWR Airport by 3pm)    We are flexible with the options either way as below:    NYC-Buffalo-Washington DC-NYC  NYC-Washington DC-Buffalo-NYC    Thank you so much for your help.  Jude ,TRAVEL TRIANGLE A,New York City,"Cairns, Australia"
Looking for some help with my NYC itinerary please - would be good to know if what I’ve planned is realistic and any changes or recommendations you’d make. Food suggestions are always welcome too - I’d like to make a list of food places for each area we visit. For breakfast we like pancakes oats omelettes egg variations eg. Eggs Benedict French toast. For lunch/dinner we prefer to grab and go or somewhere laid back (not overly fancy) - a bagel pizza slice burger and fries etc. might do a proper sit down dinner one evening. Also want to try some bakeries for cookies croissants etc.    My husband and I are visiting from 2nd-7th december and staying at the Riu plaza New York Times Square hotel. We’d like to see as many of the main sights as we can but also we don’t want to exhaust ourselves racing from landmark to landmark all day long. We love just wandering around at our own pace and seeing what we come across and we love street food/food market halls. We are aware that Times Square will be crazily busy and we are ready to embrace that but would also like to wander around some slightly quieter areas. We chose to stay in Times Square as we want to be able to walk to most things. We aren’t massively interested in the museums other than 9/11 we don’t want to see any shows and I’d like to see the Statue of Liberty but think I’d rather do a cruise that goes near it rather than set foot on the island. Here’s what I’ve got so far:      Saturday 2nd December    Our flight lands into JFK at 5.20pm. Get a taxi from here to our hotel grab an easy dinner nearby and maybe walk to see Times Square at night if not too tired    Sunday 3rd December    breakfast at the hotel  Summit one in the morning (hoping it will be quieter?)  Look in grand central station as I see it’s by the summit  Central Park in the afternoon - hire bikes and cycle round  Lunch nearby and try Levain bakery  Evening - walk around Bryant Christmas market    Monday 4th  Breakfast somewhere (I want to try some other breakfast places outside of the hotel)  Get the subway to world trade center  9/11 memorial and museum  Lunch nearby    Evening - 5th av lights saks light show  Ice skating at Rockefeller  Top of the rock in the evening    Tuesday 5th  Breakfast somewhere  Subway to Brooklyn  Walk over Brooklyn bridge  Explore Brooklyn biggie mural  Dumbo  Brooklyn bridge park  Timeout market    Evening - ?    Wednesday 6th    SOL cruise? The main ones I’ve looked at are circle line cruises and classic harbor line. Classic harbor line seems to have the best reviews. Can anyone recommend?    Dyker heights bus tour in the evening (any recommendations for which tour?)    Thursday    Last day - flight home is at 6.55pm from JFK. I think we’ll just wander round and not venture too far. Maybe look at the public library st patricks cathedral    Should I pre-book a taxi from our hotel back to JFK? I know taxis will be waiting outside the airport on arrival but what about getting a taxi for our return journey?    I’m also aware that my plans involve going back downtown day after day (to Brooklyn to 9/11 museum potentially to SOL tour). Will this be an issue? I thought it might be better to group these things together but it seems a lot to fit in one day? I’m not confident at all about getting the subway even after looking up the route on Citymapper I still don’t really understand it but hopefully someone can help me when we’re there (maybe hotel staff).    Thank you in advance for any help. ,wanderlust,New York City,"Cotswolds, United..."
Hi visiting NYC Jan 2nd for 6 nights looking for nice eateries near to Civilian hotel (situated mid Manhatten area) be nice to try authentic cuisine preferably not big chain establishments.  Thanks ,Cliff W,New York City,
Hello friends we are traveling to New York during the holidays can you recommend a restaurant with good food and a Christmas atmosphere for Christmas Eve and Christmas Eve and New Year's Eve? thank you very much ,Christos P,,
I have a Video trip report of the Northern part of Central Park in Late Fall    While the trees are past peak you can still see a good number of colors    this is a guided video tour of the Northern Section of Central Park and it winds up at Columbus Circle    You can see in this video The Duke Ellington Monument The Frederick Douglass Statue The Blockhouse which is the oldest building in the Park and dates from the War of 1812 (It predates the Park)  The Waterfall The Harlem Meer and more. Parts of the park most tourists and even locals dont get to see. The video is a bit long as I ended up at 59th St and 8th Ave Columbus circle (The park is 2.5 long) and in the end I walked to times square. I did walk a total of 21000 steps. The waterfall is a bit tricky to find as you sort of have to know where it is to find it    Here is the video There are still plenty of fall colors to see    https://www.youtube.com/watch?v=NHwrcLkOsZA&ab_channel=Travelbuff ,Queenstravelbuff,New York City,New York City
I’m coming to NYC in a couple of weeks with my wife and 12 year old daughter. This is my third trip and we’ll use the subway or walk to get around. Here’s my preliminary itinerary but would love some feedback from everyone.    Monday  -Land at LGA around 11:30 am  -Check into hotel near Hudson Yards  -Hi Line (Light Lunch/Snack)  -Little Island  -Washington Square Park  -John’s of Bleeker St  -Union Square Park  -St. Patrick’s Cathedral  -Christmas decorations on 5th Ave  -Times Square    Tuesday  -Grand Central Station  -Ess-a-bagel  -Tram To Roosevelt Island  -Roosevelt Island  -Ferry to Pier 11 Pier 11 to DUMBO  -DUMBO  -Brooklyn Bridge  -Little Italy/Chinatown  -SOHO  -Back to Hotel  -Broadway Show at 7 pm  -Junior’s    Wednesday  -TOTR (Pending Weather)  -Rockettes at 11am  -Walk through Central Park to MET  -MET  -Plaza Hotel  -Bryant Park  -NYC Library    Thursday  -AMNH  -Wall St  -Federal Hall  -9/11 Memorial  -Oculus    Friday  -Nothing planned    Saturday  -Nothing planned. Flight leaves JFK at 4:30 pm ,Jared H,New York City,"Keller, Texas"
This post has been removed at the author's request. ,Impossibile to get the username,New York City,"New York City, NY"
Hi - I have a family international travel coming up with a long transit at JFK. Was thinking of heading to Manhattan however don’t want to take four carry-ons with us. I learned that there is luggage storage at JFK but can’t find much info. Has anyone used it recently? Specifically the one at Terminal 8 since that’s where we’ll be flying out of. How much does it cost per luggage? ,SBSK2012,New York City,"Stanley, Kansas"
Note: Please do not comment that Times Square on NYE is not worth it; that is not helpful.    I am looking for NYE events/ parties around Times Square that would allow me to see the ball drop at midnight. I am willing to pay a little more to experience the drop in person without having to stand for hours in the cold.    I found an event at The Rabbit Hole that promises an escort to the ball drop but the venue doesn't have a website and I'm afraid it may be a scam. Can anyone vouch for this location or confirm that it is a scam?    https://www.eventbrite.com/e/new-years-eve-2024-party-overlooking-times-square-ball-drop-vip-escort-tickets-752082778837?aff=ebdssbdestsearch    Also how does access to hotels in the freeze area work? Can I have friends come to my room before 7 and then have them join me on the street to see the ball drop at midnight? Or are Street access/ passes from hotels limited to the number of people listed on the reservation?    Thank you in advance for all of your insight and help! I appreciate it! ,loveandlight,New York City,
family of 4- two adults and two kids age 10 & 12  end of March trip for a week  Which Hilton Grand Vacation Club would you recommend?    The Central @5th  Quin  West 57th St.  The Residences    They seem very similar and likely availability will come into play in our decision.  But for people who have been recommendations and pros/cons to any particular one of these hotels?    Thanks! ,potato,New York City,Wisconsin
Hi  I'm new to New York and need some informations about Travel Shows and Events in New York. Is there any annual exposition event forum where the travel agenciea tour operators show their services? ,Aksil,,Morocco
After 22 years im going back to NY. This time i like to stay in Brooklyn/Long Island    What is a nice area to stay in a Brooklyn hotel suggestions? Room price around ¢250.    I did see the Boro hotel on 38-28 27th Street Long Island is this a ok neighbourhood? Great view of Manhattan. ,WIllem V,Brooklyn,"Rotterdam, The..."
Hi we got approved for our ESTAs and paid the $21 fee each but have since had an email about an I-94 form with a $6 fee. Does this seem legit? ,Andrea M,New York City,Northern Ireland...
This post has been removed at the author's request. ,Hank W,Lake Placid,Boston...
I'll be visiting new York December 5th to 15th am staying in Newark near the UHNJ I was wondering what's the best way for me to travel from and to Manhattan I'll be moving alot and I want to explore city to the max am looking for any cheap Transit passes. Thank you. ,Soumia B,,"Phoenix, Arizona"
What is the best way to get from Manhattan to LGA with luggage ,Wgilstra,New York City,"Atlanta, Georgia"
Does anyone know if any of the pass companies do Black Friday deals? Specifically go city pass  Thanks ,Phillip W,New York City,
Hi    We are visiting NYC from the 22nd - 28th December. I imagine this is going to be a busy time over the festive period. I am making bookings at some places for dinner but was wondering - is it necessary to reserve for drinks if say we want to go somewhere for a couple of pre or post dinner cocktails? Many places which look really nice when you go to reserve online - it mentions you are booking for dinner. I obviously don't want to reserve a table if there is an expectation and perhaps even obligation to then order food when we arrive. ,fizz-mc,New York City,United Kingdom
Am thinking of having a special 10th anniversary holiday next year at end of June in NYC. We’re in London and I haven’t been to New York in 25 years. New York hotels are pricey! We like well-designed hotels. I found a pretty good cancellable deal for the arlo soho for $1600 for 8 nights. The reviews are quite mixed tho which makes me worried. I know the rooms are v small but we’ve stayed in CitizenMs before and loved it. But I’ve also been reading about Made hotel which looks great and has much better reviews. However it’s going to cost $500 more (or $300 but means paying now which I’m loath to do). If anyone knows both hotels what’s your thoughts. Is it worth the extra money? It’s going to be an expensive trip anyway. Also I think I quite like the location of arlo since the made looks like it’s more in the touristy areas rather than more localised interesting areas. Is that right? Thoughts much appreciated. ,JrichardF,New York City,
I'll be in NYC in December and will go to the Christmas display at the botanical garden. Any well-recommended restaurants close by? We will be taking the subway. ,Roam826205,New York City,
I understand Wed be very busy travel day. People say chaos. Would you think leaving Times Sq 1600 by taxi would be OK for 2200 international flight.  I presume 2hrs taxi and 4hrs for security and bag drop is OK. We are sky priority if that makes a difference ,Valerie K,New York City,
Hello    We’ll be in NYC mid December staying in the Lower East Side.    One day we plan to see highlights of Central Park the Neue Museum and Museum of the City of NY. We want to manage our walking to the museums and park. How should we arrange this day the most efficiently?    Thank you! ,Eriedd,New York City,"Everett, Washington"
Seeking recommendations for a great business class flight to New York departing from any Asian city.  Excluding Singapore Airlines which I've done before. I will be departing from Sydney and willing to transit through Asia just to get to NYC.  Unwilling to fly Qantas Air New Zealand or any US airlines. Thanks for your advice ,homeister,,"Sydney, Australia"
Can anyone advise re sky priority at t4 jfk. This is for departing Wed evening. We know airport extremely busy due thanksgiving. Is there a sky priority security lane after bag drop ,Valerie K,New York City,
Looking to go for four nights over spring break and most of these hotels range from $2000 up to $2500 total. They all seem to have pros and cons and I know it is personal preference but anyone want to weigh in on this decision?    Kimberly - has great ratings but looks a bit dated    Lotte - looks nice but is the most expensive on this list    Luma - like that it has 2 king beds but looks small    Hyatt Centric TS - more updated    We have two teenage daughters so time in the bathroom adds up so having some extra space in the room would be nice to sit down and get ready.    I was kind of hoping to be in walking distance or in a good location central to all of the things but hopefully not in the very middle of Times Square. I’m assuming we should bring ear plugs in all hotels can be noisy at night when sleeping. My husband would like some sort of a view not of just a brick wall. ,gotech,New York City,"Fort Worth, Texas"
Planning a day in NYC in early December 2023. After arriving at Grand Central Station I would like to visit the Rockefeller Christmas Tree the Bryant Park Christmas Market and the Department Store Christmas windows (Bergdorf Goodman Saks Macy's). What is the best order to visit these sites so I'm not backtracking? Do you suggest uber subway walking? Any recommended restaurants near these locations for a nice special lunch? Any other special Christmas sights I should be visiting along the way considering I'm only spending the day? Thanks! ,marchea2016,New York City,Glastonbury...
I used this forum about 1.5 years ago when I was planning my first trip to NYC and it was incredibly valuable. We loved the city so much that we are planning to visit again for a longer trip from March 31st to April 6th. Last time I found a good deal and stayed at the Lotte New York Palace but now I’m looking for any recommendations you may have in a lower price range:    - Dates: March 31st - April 6th  - Budget: $250-$300 per night  - Room: 1 room 3 adults (2 queen beds)  - Amenities: Complimentary breakfast (this is unfortunately required for those I’m traveling with)  - Area: Midtown Manhattan/Midtown East/Rockefeller/Radio City but open to other areas in midtown    Thank you in advance! ,Bino,New York City,
CockleCove started a great thread last year about Thanksgiving dinners under $100 and I thought it was an excellent idea and a great resource. We thought I could kick it off this year so here goes.    A lot of us are battling horrid exchange rates and I find flight fares expensive too for all but the most basic economy flights. Restaurant prices are higher now too into the yikes! 💰 😢category for some it seems. And of course the hotel deals aren’t what they have been in the past. I really feel for families who are trying to find nice spots over a Thanksgiving holiday without breaking the bank.    So hopefully this helps. Please add your favourites or new discoveries. 🍂🗽🍂🦃🍂😀😎 ,mcwhippet,New York City,"Edmonton, Canada"
Hello everyone    I would like to spend from Dec 24th to Jan 2nd in NYC. Would I be able to eat see and do most things a tourist would want to or would a lot of places be closed? ,4yux,New York City,Barbados
Hi. Can someone please advise on roughly how long to expect to clear all the checks/security/visas/luggage when arriving at JFK?  Thanks ,1234Holidayer,New York City,London
Hart Island burial site for 1 million New Yorkers opens to the public  https://gothamist.com/news/hart-island-burial-site-for-1-million-new-yorkers-opens-to-the-public  Starting next week the island will be open twice a month to free walking tours hosted by the Parks Department which will offer a ferry to visitors from City Island in the Bronx.  The tours are available by lottery on the Parks Department website with space for about 30 people on each visit. ,Kaye_in_Astoria,New York City,"Astoria, New York"
Hello.    Can anyone recommend a hotel where its possible to book a room with 3 single beds?  We have been in contact with Heritage Hotel - but they have no rooms that for the period.    Looking forward to your respons.    Christian ,Christian Ebersbach,New York City,"Assens, Denmark"
Hi guys! I'll be in Manhattan in March 2024 and I'd like to buy a case of 6 bottles of Portuguese wine to a friend that works in Chelsea (147 W 25th Street). What are the nearest best options? Thanks in advance! ,Flavio S,New York City,"Madeira, Portugal"
Hi everyone! The booking is complete: I'll be in New York from March 26 - 31 and I can't wait. :)    This year I used an online travel agency (1200 EUR for flight + accomodation not bad!) and the direct flight Madeira Island - NY is an added plus.    How do I get from JFK to Red Lion Inn Long Island?    Thanks in advance! ,Flavio S,New York City,"Madeira, Portugal"
Hello! We normally park close to the restaurant or show we are going to but my husband has a splint on his arm and I have a surgery boot on my right foot. Looking for a garage close to coming out of the tunnel which easy access back to tunnel. Will be leaving city after a broadway matinee on a Wednesday. Concerned about timing with rush hour. Trying to avoid taking the train in.    Thanks! ,freshstart19,New York City,New Jersey
I’m looking to book a boat tour that goes close by to the Statue of Liberty. I’m aware you do not get off the boat and set foot on Ellis island/SOL which is what I want I just want to sail past it.    I’m trying to decide between Circle Line Liberty Midtown 1 hour cruise and Classic harbour Line sunset and holiday cocoa cruise 1.5hours. Has anyone tried both of these and can comment which they found better?    Thank you ,wanderlust,New York City,"Cotswolds, United..."
Just wondering if during the Christmas period in December it will make any difference whether I go up the summit on a Sunday vs a week day and the morning vs sunset?    I’m sure in other months a week day morning would be quieter but in the Christmas period is it going to be crowded at every time? Or is sunset much busier? I’d read some reviews saying sunset was so crowded they couldn’t actually get near the glass ,wanderlust,New York City,"Cotswolds, United..."
My family (husband son 12 and I) and Family 2 (SIL BIL and nephew 11 ) will be visiting Dec. 25th-30th. We will be doing some activities together and some separately as my family has visited NYC before. We are all staying at Marriott Vacation Club Pulse (West 37th St.) We are prioritizing the 2 boys as this trip is their Christmas present. Christmas-specific activities shopping for the boys food (open to all types but the boys' favorites are pizza burgers wings sweets hot chocolate ramen dumplings spicy stuff) history/NYC must-sees Harry Potter and sports are planned...    I am interested in your advice on what I have down so far my grouping of activities must-sees and specific location food recs.    Dec. 25th  Family 2 arrives @ 11:30 AM (wanting dinner recs in Hells Kitchen area)  Not sure what else they are doing yet    Dec. 26th  Family 2 Statue of Liberty visit -booked  My family arrives @ 11:30 AM/Check-in/drop off bags  Lunch @ John's of Times Square (son's request) or pizza close by the hotel area  Meet up with Family 2 walk decorated store displays Rockefeller Tree back to Bryant Park Winter Village  Dinner @ (or just self food tour it at the winter village)    Dec. 27th  Morning All 9/11 Memorial and Museum (need to book)  Lunch at O'Haras Pub and Grill  Explore the downtown area (add must-sees)  Hotel Break (maybe)  Evening ALL Classic Harbor Cruise Line (Cocoa and Carols) (need to book)  (by Chelsea Market/High Line-explore eat dinner here before or after cruise)    Dec. 28th  breakfast shopping or the Mom's to Today Show or add activity  Family 2 Harry Potter play @ 1 PM  My Family to Pinstripe Bowl at Yankee Stadium @ 2:15PM  Meet up for Dinner/Evening activity @    29th  breakfast shopping or the Mom's to Today Show or add activity  ALL Jackie Robinson Museum (11AM-6PM)  Lunch @  Explore the area (add must-sees)  Evening activity/dinner @    30th  Central Park/explore the area  Lunch @  Depart 3:30(earlier?) for 5:30 flights LGA    Other stuff:  Waiting to hear back from Big Apple Greeters  Free By Foot Tours  A Slice of Brooklyn Tours (Dyker Heights Lights maybe)  Museums    THANK YOU! ,Angela S,New York City,"Houston, Texas"
Hi can we are in New York the 23rd Thanksgiving will it be difficult to get a restaurant booking and will most places be closed. Did not realise we would be there for that day. Thanks ,DEBBIE B,New York City,
Is anyone so kind to explain why you can not reserve a table for 1 person at Peter Luger and Sylvia's through resy app and why Clinton St. Baking does not taking reservations for early breakfast? What I would like to know if only solution is try to go there as walk in. I try to contact them but did not get any answer. Thank you! ,Marko H,New York City,"Solkan, Slovenia"
Hubby is keen to do Summit One at Sunset...Any recommendations for a mid range really tasty restaurant close by for us and 2 teens? I don't want to waste even one good dinner opportunity during our stay in NYC . This area wasn't in my original plans for a night out but since we are there will make the most of the area. There is really not much we don't eat but probably not too high end for the kids and their large appetite.    thanks! ,Night,New York City,
Staying in 38 west 31st street and just getting advice on whether this is a good location to move around from ,chieftons4,New York City,"Portsmouth, United..."
Hey all  My wife and I are coming to NYC with her daughter and son-in-law in a few weeks. We're looking for some recommendations for some chilled bars preferably with sofas to just rock up and relax of an evening. Somewhere we can just chill and talk ab out our days?    Any recommendations? A lot fo bars recommended seem to relate to best cocktails or themes etc etc - we're looking for chilled :) ,Wiggz,New York City,Warwickshire
Hi further to my Qs yesterday just had a thought if we’re arriving into Manhattan at 2.00 - 2.30pm on NYE is it likely we’ll be able to exit at 42nd St/Port Auth or will it already be in a closed off area?    If that’s the case does anyone have any advice about alternative mass transit options from JFK to Yotel at West 42nd / 10th Ave?      Thanks as always x ,vickilewis626,New York City,"Scarborough, United..."
Kelli OHara gave a performance at a chamber music festival near here. I just got a discount code for the revival of Days of Wine & Roses with Brian D'Arcy James in case it would be of interest. The code is OHARAFAN. ,blumebwaybaby,New York City,"Syracuse, New York"
We will be BACK in the Big Apple in April and then going to Boston. Prices all in (baggage Airtrain) for Amtrak vs. JetBlue are similar. Time from hotel to exiting the aircraft/trainset is similar. Flight is 1 hour or so but getting to JFK requires we leave Tribeca 2.5-3 hours before the flight time. Or we can leave Tribeca 30-40 minutes before our train is scheduled.    If pricing and time is the same which would you do (spoiler: I am leaning train she is leaning plane) ,Northern_Traveler00,New York City,California
For anyone else that was up and ready at 630 this morning to make a reservation but was met with a book soon grey button....go to one of the other cities to make a reservation and you can change the location on the calendar screen.    Now we get to spend black friday morning at Macys meeting the big guy! ,BANT17,New York City,"Tampa, Florida"
My family and I are thinking about traveling from Philly to NYC between Christmas and New Years Eve. We'd like to see the SOL and the pedestal but the ferry website has this caveat:  Note: When choosing your time this is your entry into the Security Facility not the entry time into the Pedestal of the Statue of Liberty National Monument. The wait time can be several hours particularly during peak season including summer weekends and holidays.    If we go on a weekday will the wait still be several hours? I don't want to spend our whole day just on the SOL so I'm looking to see if that's an accurate time estimate. Thank you! ,Stephanie J,New York City,"Alexandria, Virginia"
i know tipping is the norm in america but heard some eating places have started doing away with tipping and like to know where they are. any in manhattan midtown or near central park or the wall street area? ,Rockstar,New York City,
Hello    My husband 16-year-old daughter and I will be attending the NYC Ballet Nutcracker performance at the David Koch Theater (Lincoln Center?) on a Friday in late December at 8 pm.    We'd like to get dinner beforehand. Any suggestions for nearby restaurants? We like all kinds of foods but an Italian place might be nice. We're open to ideas/suggestions. We're eating East Asian cuisine the next day.    In terms of price I'm hoping to find entree options priced under $50.    And what time would we want our reservations for assuming we can make them? 6 pm? 5:30 pm? Assuming the restaurant is within walking distance...    I appreciate any thoughts/suggestions. ,JKEWJ,New York City,Saint Paul...
We will be travelling in October and want to see the main sights. My question is........is there a better time to go to certain places i.e. best view is early morning for statue of liberty etc. We will be doing (at least):    empire state  statue of liberty - from boat only  central park  time square  brooklyn bridge  coney island (maybe)  china town/little italy  hallowen parade - where is the best place to see this??    We are trying to maximize our time and want to start booking some attractions so any advice gladly received ,Susan D,New York City,"Nottingham, United..."
We're staying with family in Long Island in November but want to do 1 night in Manhattan (possibly 21st November but can be flexible) so we can have 2 days of sight seeing. We've been once before so done the main tourist things so this time we're thinking:  - MAD Museum  - High Line  - Photo at Cornelia Street (daughter is a big Swiftie)  - Ice skating at Rockafella Centre  - Possibly a show (but looking too expensive)    We'll need 2 rooms as it's for 4 adults and 2 teenagers and ideally a budget of c$300 per night per room. I've seen a few options but completely overwhelmed with the different areas and hotels. Restaurants for lunch/dinner welcomed also (again reasonably priced).    Are there any areas or hotels you'd recommend? I've thought of Courtyard Manhattan/Soho Hyatt House Chelsea Moxy East Village Hilton Garden Inn Chelsea Hyatt Herald Square along with a raft of others. I've been assigned to research and book for us all so any advice much appreciated.  Thanks in advance. ,BelfastTaddles,New York City,Castlewellan...
Hi we are staying at the Carnegie Hotel (56th & 7th). Looking for a diner and good casual/cheap eats in that area. Thanks! ,Sam S,New York City,Northern Virginia
I lived in New York in the 70s and like everyone I have fond memories of the food. Specifically:    Meatball sandwiches from a kiosk in the village    Souvla-king around 42nd Street    And ham and cheese from virtually every little store/deli.    Granted that there's a fair bit of memory enhancement here!    I'll be in NYC next month staying in Chelsea. Any suggestions for reliving the sandwiches of my youth? ,Roam826205,New York City,
https://www.nytransitmuseum.org/holidaynostalgiarides    The nostalgia trains will return to run their routes every Saturday in December.    They start at the 2nd Ave station on the F line and make a route uptown and back. See the link for the route and the schedule.    The fun thing about this train is that some passengers get dressed up in period costume there is a conductor in period costume and the train is an old one from the 1930's.    You can use this train like a regular subway ride to a destination along the route if you like or treat it like one big ride along the whole route.    The cost is the same as a regular subway ride using your Metrocard or OMNY. ,Aynat62,New York City,Greater Sydney...
As per my other question we’ve been to NYC lots of times in other seasons so have spent lots of time exploring parks neighbourhoods and other outside attractions. When we visit next we land NYE and fly out 4th January.    Ideas of things to do?    So far we have on the list:    USS Intrepid    9/11 Museum    An observatory (already done TOTR and The Edge)    A day exploring Brooklyn and local stores    Ice skating (unsure whether to do Rockefeller or CP?)    Bumper cars on ice at Bryant Park (if started by then)    Wondered about Dakar Lights if they’re still on at that time?    Generally speaking we’ll just be enjoying the city this time around with lots of hot chocolate stops and NY eats in there! ,vickilewis626,New York City,"Scarborough, United..."
Any chance we twill still be able to visit and view the Santaland decorations after Christmas even if Santa will have already returned to the Northpole? We don’t get into NYC until 12/26. ,BruinGirl21478,New York City,"Orange County, CA"
Many thanks to everyone who helped us (me and DD age 13 with planning!    Friday - we arrived mid-afternoon to LGA and had pre-arranged a car with Carmel. Our flight was early and the driver was already waiting! It took a while to get to the pickup area but he was patient. We had booked the second cheapest option (luxury sedan 1-3) and were pleasantly surprised to see we were riding in a very clean and updated Escalade. Ride to midtown hotel at 50th and Madison was $75ish all in with tip and tolls.  Our room wasn’t ready so we stored our bags and headed out to shop. We ended up having to re-do a lot of our itinerary knowing that it was going to rain all day Saturday. We cancelled our dinner reservation and planned to stay outside as much as possible and just wing it for dining that night. We went to Rockefeller Center and made a bear at Build-A-Bear at FAO Schwartz. DD enjoyed her favorite pastime of giving more of our money to Lululemon and got a kick out of the 4 story location. Our Lulu in NC is tiny.  We went to some other stores then stopped to take several photos of a stroller full of enormous cats. Three of them - plump and happy riding on top of a cart and wearing berets.  We ended up joining the line for dinner at Ellen’s Stardust and got a great seat after about a 25 minute wait in line. DD loved the singing and enjoyed her food fine enough….we split appetizers. Our waiter was really kind and very talented. I missed the chaos that there used to be before Covid….last time I was there they threw much more confetti and straws and there were no tp streamers flying around. I know how wasteful that is and not-environmentally friendly but it sure was fun.  We got a good deal on Moulin Rouge tickets and went to the 7pm show. Orchestra seats and a terrific cast- we loved it! My only complaint would be that the seats are so tight…the guy next to me was manspreading so badly that I had to practically lay over on DD.  All of the performers were terrific especially Casey Cott as Christian. DD and I were thrilled to meet him and take pics at the stage door after the show. He took his time with everyone even though I think he has a new baby at home! We took a cab home and tried to sleep but our hotel was pretty crowded and loud with people coming in late night.  More to come! ,HolidayE,New York City,North Carolina
Has the Hilton Garden Inn Times Square on Eighth Ave. closed? If so is there a different hotel there now? I was there in March and there was scaffolding on the building. ,theatremom,New York City,"Baltimore, MD"
Hello all    I’ve visited NYC multiple times over the past decade but always in the summer time. This time we will be arriving at lunchtime on NYE.    We aren’t bothered about the ball drop or booking an expensive restaurant cruise etc. our plan is to check in to our hotel (Yotel NYC) and then have a wander over to Hudson Yards a couple of drinks and look at the lights then make our way uptown towards the park getting a low key dinner along the way. Then head to Central Park via the UWS. We’d like to see in 2024 on the Bethesda Terrace.    My questions:    A) are we going to be able to travel in these areas without being impacted by road closures etc?    B) Will subways be running as normal? I assume so but best to check!    C) ideas for dinner? Happy with takeout etc and we’ll likely end up ducking in somewhere that looks good and has space but if anyone has any particular reccies they’d be great!    D) where can we enter the park? I know there are only certain entrances open after a certain time on NYE.    E) can we walk the park during the early evening before we make our way to Bethesda Terrace?    Thank you in advance! ,vickilewis626,New York City,"Scarborough, United..."
Just an FYI    the fare on the Airtrain from JFK is going up another quarter in march to $8.50 ,Queenstravelbuff,New York City,New York City
Dear all    Any recommendation of hotels nearby train station accessible to JFK airport❓      Thank you. ,MintGold,New York City,"Singapore, Singapore"
The Metropolitan Museum of Art has announced that the 45 or so galleries dedicated to European art before 1800 will reopen to the public on November 20 2023. They started allowing member-previews on November 17 so I went to take a look. This follows a long repair of the skylights above the galleries.    If you want to read about this the title of the exhibition is Look Again: European Paintings 1300–1800 https://www.metmuseum.org/exhibitions/look-again-european-paintings-1300-1800    I'm talking about the galleries right at the top of the Grand Staircase from the Great Hall. The interconnecting doors to the American Wing and to the Musical Instrument galleries had also been closed for many months.    The Met states that the re-hanging of these galleries includes efforts to showcase more works by women and in the Spanish colonies of the New World.    This is evident from the very first gallery 600 in that the familiar Tiepolo paintings are related to empire and colonialism by including three-dimensional works from Rome Pakistan and Mexico. Gallery 632 is titled Hierarchy Gender and the French Academy.    Most re-exhibited paintings have been re-hung in a new location. There are a few surprising exclamation points like being faced with a famous Max Beckmann triptych in the second gallery 601 along with Italian Renaissance. And quite appropriately Chaim Soutine's 1924 Ray Fish is in 617 Still Life. There's a Dali in Spanish Religious and Picassos beside El Greco. I found one work by a living artist Kerry James Marshall in the gallery titled The Artist's Studio. ,obsoperator,New York City,"Bergen County, New..."
He did a wonderful charcoal sketch of my husband and only charged him for the paper--$2.00.  I would like to know who is and what became of him. ,Jean M,New York City,"Provo, Utah"
Hey Guys  Is a visit up the crown worth the time? On past visits to New York we always waved to her from afar but thought it might be a cool thing to do with our teens. We are pretty fit so stairs not an issue.  If you think it is a good idea I am not sure exactly what day to put it in... If we choose Battery Park ferry logically I think it would be a day we penned to spend down that way but I also don't want to feel rushed doing 9/11 museum which is more important to us. Would tagging it on to a day we do Chelsea/Highline make sense or is this too hard?    Any advise welcome. Thanks ,Night,New York City,
The sun sets on New Year's Day in NYC at 4:39pm.  I have never been to Hudson Yards and it looks like something my wife would enjoy.  If we came into Penn Station by 1pm what would you suggest we do in the area with the goal of being in Hudson Yards once it is dark?  https://www.hudsonyardsnewyork.com/ ,SteveSBrickUSA,New York City,"Brick, New Jersey"
Do you need a photo ,lou84sheffield,New York City,"Sheffield, United..."
Planning a trip up the highway on Whiteface for next June and am curious about what is meant by closing time for the road. I see everywhere that it closes at 5:30pm however does that mean they only sell tickets to go up the highway until 5:30pm and that you can come down later than that or you have to be off the road by 5:30pm?    Just curious as we were hoping to go up before 5:30pm and watch the sunset then drive down afterwards.    Thanks ,Mike519,Wilmington,"Waterloo, Canada"
